"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE","ZIP","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","LATITUDE","LONGITUDE"
"MLS Listing","","Single Family Residential","738 Robin Dr","SANTA CLARA","CA","95050","899950","3","1.0","SANTA CLARA","1070","5346","1950","1","841","","Active","September-2-2017 01:00 PM","September-2-2017 04:00 PM","http://www.redfin.com/CA/Santa-Clara/738-Robin-Dr-95050/home/1789286","MLSListings","ML81675755","N","Y","37.341138","-121.9618473"
"MLS Listing","","Townhouse","6714 Leatherwood Ct","SAN JOSE","CA","95120","799000","3","2.0","SAN JOSE","1354","1848","1973","1","590","357","Active","September-2-2017 01:00 PM","September-2-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/6714-Leatherwood-Ct-95120/home/976714","MLSListings","ML81675704","Y","Y","37.2174819","-121.861021"
"MLS Listing","","Single Family Residential","1709 Canna Ln","SAN JOSE","CA","95124","899000","3","2.0","SAN JOSE","1210","6060","1962","1","743","","Active","August-30-2017 09:00 AM","August-30-2017 01:00 PM","http://www.redfin.com/CA/San-Jose/1709-Canna-Ln-95124/home/919691","MLSListings","ML81675693","N","Y","37.2314887","-121.909904"
"MLS Listing","","Single Family Residential","2250 Lusardi Dr","SAN JOSE","CA","95148","755000","2","2.0","SAN JOSE","1061","3252","1985","1","712","70","Active","","","http://www.redfin.com/CA/San-Jose/2250-Lusardi-Dr-95148/home/1745188","MLSListings","ML81675688","N","Y","37.3156","-121.789168"
"MLS Listing","","Townhouse","18210 Hale Ave Unit A","MORGAN HILL","CA","95037","460000","3","1.5","MORGAN HILL","1145","1160","1976","1","402","285","Active","September-2-2017 02:00 PM","September-2-2017 04:00 PM","http://www.redfin.com/CA/Morgan-Hill/18210-Hale-Ave-95037/unit-A/home/1272420","MLSListings","ML81675673","N","Y","37.137721","-121.664097"
"MLS Listing","","Townhouse","748 N 10th St #4","SAN JOSE","CA","95112","825000","3","3.5","SAN JOSE","1782","1300","2014","1","463","262","Active","","","http://www.redfin.com/CA/San-Jose/748-N-10th-St-95112/unit-4/home/55335906","MLSListings","ML81675667","N","Y","37.3549486","-121.891386"
"MLS Listing","","Single Family Residential","1423 Crucero Ct","SAN JOSE","CA","95122","520888","3","1.5","SAN JOSE","1214","3200","1971","2","429","","Active","","","http://www.redfin.com/CA/San-Jose/1423-Crucero-Ct-95122/home/877711","MLSListings","ML81675653","N","Y","37.3280431","-121.8423978"
"MLS Listing","","Single Family Residential","3242 Blue Mountain Dr","SAN JOSE","CA","95127","588888","3","2.0","SAN JOSE","1032","5000","1959","2","571","","Active","September-2-2017 01:00 PM","September-2-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/3242-Blue-Mountain-Dr-95127/home/1298755","MLSListings","ML81675651","N","Y","37.3501221","-121.8069533"
"MLS Listing","","Single Family Residential","484 Safari Dr","San Jose","CA","95123","799999","3","2.0","SJOS - San Jose","1232","6270","1971","2","649","","Active","","","http://www.redfin.com/CA/San-Jose/484-Safari-Dr-95123/home/1067489","CRISNet","SR17198252","N","Y","37.2376601","-121.827078"
"MLS Listing","","Single Family Residential","992 S 12th St","SAN JOSE","CA","95112","640000","3","1.0","SAN JOSE","1092","5043","1924","2","586","","Active","","","http://www.redfin.com/CA/San-Jose/992-S-12th-St-95112/home/1729085","MLSListings","ML81675636","N","Y","37.3269605","-121.867766"
"MLS Listing","","Condo/Co-op","6036 Montgomery","SAN JOSE","CA","95135","545000","2","2.0","SAN JOSE","1300","1300","1972","2","419","752","Active","","","http://www.redfin.com/CA/San-Jose/6036-Montgomery-Cor-95135/home/960289","MLSListings","ML81675629","N","Y","37.288007","-121.756477"
"MLS Listing","","Townhouse","17993 Cantabria Ln","MORGAN HILL","CA","95037","640621","3","2.5","MORGAN HILL","1620","1069","2017","2","395","293","Active","","","http://www.redfin.com/CA/MORGAN-HILL/17993-Cantabria-Ln-95037/home/143442813","MLSListings","ML81675624","N","Y","37.1305012","-121.6543901"
"New Construction Plan","","Single Family Residential","Plan 1","Morgan Hill","CA","95037","640000","3","2.5","Monterey Parque","1620","","","","395","","Active","","","http://www.redfin.com/CA/Morgan-Hill/Monterey-Parque/Plan-1/home/142961129","NewHomeSource.com","Plan-21414367","N","Y","37.137215","-121.660196"
