"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE","ZIP","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","SCHOOL NAME","SCHOOL SCORE","SCHOOL DISTANCE","DRIVE DISTANCE(KM)","DRIVE DURATION(MIN)","IS SENIOR"
"MLS Listing","","Single Family Residential","6102 Urlin Ct","SAN JOSE","CA","95123","760000","4","2.0","SAN JOSE","1556","6500","1969","1","488","","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/6102-Urlin-Ct-95123/home/990846","MLSListings","ML81675536","N","Y","37.2366482","-121.8113554","Taylor (bertha) Elementary School","8","0.5","27.0","22","N"
"MLS Listing","","Single Family Residential","704 N 12th St","SAN JOSE","CA","95112","758888","3","2.0","SAN JOSE","1484","5658","1974","1","511","","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/704-N-12th-St-95112/home/1328829","MLSListings","ML81675531","N","Y","37.3548568","-121.8886966","Walter L. Bachrodt Elementary School","4","1.4","10.0","12","N"
"MLS Listing","","Single Family Residential","2109 Gullane Way","GILROY","CA","95020","789900","4","3.5","GILROY","2333","3505","2004","1","339","246","Active","","","http://www.redfin.com/CA/Gilroy/2109-Gullane-Way-95020/home/1762325","MLSListings","ML81675521","N","Y","37.0031398","-121.6071415","Las Animas Elementary School","7","1.7","62.8","45","N"
"MLS Listing","","Condo/Co-op","800 N 8th St #218","SAN JOSE","CA","95112","695000","3","2.0","SAN JOSE","1370","435","2004","1","507","399","Active","August-26-2017 12:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/800-N-8th-St-95112/unit-218/home/1573373","MLSListings","ML81675514","N","Y","37.3554012","-121.8943441","Walter L. Bachrodt Elementary School","4","1.2","10.1","13","N"
"MLS Listing","","Single Family Residential","1259 Hillsdale Ave","SAN JOSE","CA","95118","729000","3","2.0","SAN JOSE","1176","5900","1956","1","620","","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/1259-Hillsdale-Ave-95118/home/855533","MLSListings","ML81675508","N","Y","37.2741481","-121.8843428","Schallenberger Elementary School","8","0.5","19.2","17","N"
"MLS Listing","","Single Family Residential","1430 Grand Blvd","ALVISO","CA","95002","759000","3","2.0","ALVISO","1256","6000","1940","1","604","","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/1430-Grand-Blvd-95002/home/548714","MLSListings","ML81675506","N","Y","37.4287734","-121.9683081","George Mayne Elementary School","6","0.3","8.7","14","N"
"MLS Listing","","Single Family Residential","574 Heath St","MILPITAS","CA","95035","888885","4","2.0","MILPITAS","1370","6000","1959","1","649","","Active","","","http://www.redfin.com/CA/Milpitas/574-Heath-St-95035/home/1640712","MLSListings","ML81675489","N","Y","37.4383256","-121.9185788","Anthony Spangler Elementary School","8","0.6","16.5","17","N"
"MLS Listing","","Condo/Co-op","7350 Via Laguna","SAN JOSE","CA","95135","699000","2","2.0","SAN JOSE","1442","2203","1983","1","485","750","Active","","","http://www.redfin.com/CA/San-Jose/7350-Via-Laguna-95135/home/681411","MLSListings","ML81675465","N","Y","37.290634","-121.745724","Laurelwood Elementary School","7","2.0","26.8","26","Y"
"MLS Listing","","Townhouse","2406 Lincoln Village Dr","SAN JOSE","CA","95125","809000","2","2.0","SAN JOSE","1264","3060","1977","1","640","409","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/2406-Lincoln-Village-Dr-95125/home/850226","MLSListings","ML81675462","N","Y","37.286239","-121.88476","Booksin Elementary School","10","1.2","18.1","18","N"
"MLS Listing","","Condo/Co-op","1621 Thorncrest Dr","SAN JOSE","CA","95131","599000","2","2.0","SAN JOSE","922","1200","1987","1","650","414","Active","August-26-2017 12:00 PM","August-26-2017 03:00 PM","http://www.redfin.com/CA/San-Jose/1621-Thorncrest-Dr-95131/home/1576997","MLSListings","ML81675453","N","Y","37.3767349","-121.880183","Brooktree Elementary School","7","1.5","11.7","14","N"
"MLS Listing","","Single Family Residential","318 Doris Ave","SAN JOSE","CA","95127","748888","4","2.0","SAN JOSE","2496","6655","1947","1","300","","Active","August-26-2017 12:00 PM","August-26-2017 03:00 PM","http://www.redfin.com/CA/San-Jose/318-Doris-Ave-95127/home/1597557","MLSListings","ML81675445","N","Y","37.3599951","-121.8276715","Lyndale Elementary School","4","0.2","17.4","16","N"
"MLS Listing","","Condo/Co-op","3740 Miraverde Ct #127","SANTA CLARA","CA","95051","728400","2","1.0","SANTA CLARA","920","","1986","1","792","352","Active","August-26-2017 02:00 PM","August-26-2017 05:00 PM","http://www.redfin.com/CA/Santa-Clara/3740-Miraverde-Ct-95051/unit-127/home/1562805","MLSListings","ML81675444","N","Y","37.3582409","-122.0002941","Ponderosa Elementary School","8","0.5","4.8","11","N"
"MLS Listing","","Condo/Co-op","7704 Galloway Dr","SAN JOSE","CA","95135","615000","2","2.0","SAN JOSE","1490","","1989","1","413","691","Active","","","http://www.redfin.com/CA/San-Jose/7704-Galloway-Dr-95135/home/1571845","MLSListings","ML81675443","N","Y","37.29042","-121.739421","Silver Oak Elementary School","10","1.4","27.5","27","Y"
"MLS Listing","","Condo/Co-op","635 Celebration Ct","SAN JOSE","CA","95134","675000","2","2.0","SAN JOSE","925","1575","1992","1","730","285","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/635-Celebration-Ct-95134/home/546466","MLSListings","ML81675247","Y","Y","37.401582","-121.920457","Montague Elementary School","6","1.6","6.7","12","N"
"MLS Listing","","Condo/Co-op","52 Wind Song","MILPITAS","CA","95035","799000","2","2.5","MILPITAS","1353","1673","2000","1","591","240","Active","August-26-2017 12:00 PM","August-26-2017 05:00 PM","http://www.redfin.com/CA/Milpitas/52-Wind-Song-95035/home/1721660","MLSListings","ML81675440","N","Y","37.417037","-121.901672","Pearl Zanker Elementary School","8","0.7","10.7","20","N"
"MLS Listing","","Single Family Residential","7335 Prindiville Dr","SAN JOSE","CA","95138","899999","4","3.0","SAN JOSE","1827","4226","1992","1","493","","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/7335-Prindiville-Dr-95138/home/1521186","MLSListings","ML81675437","N","Y","37.2327809","-121.7623672","Los Paseos Elementary School","7","0.5","29.0","22","N"
"MLS Listing","","Single Family Residential","5293 Country Oak Ct","SAN JOSE","CA","95136","730000","3","2.5","SAN JOSE","1451","3492","1988","1","503","86","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/5293-Country-Oak-Ct-95136/home/1423630","MLSListings","ML81675432","N","Y","37.2591959","-121.8175599","Hayes Elementary School","6","0.6","24.8","22","N"
"MLS Listing","","Single Family Residential","871 Lakehaven Dr","SUNNYVALE","CA","94089","878888","3","2.0","SUNNYVALE","964","5995","1959","1","912","","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/Sunnyvale/871-Lakehaven-Dr-94089/home/585127","MLSListings","ML81674037","N","Y","37.3962424","-121.9997865","Lakewood Elementary School","4","0.2","5.8","8","N"
"MLS Listing","","Single Family Residential","765 Alamo Dr","MORGAN HILL","CA","95037","724950","3","2.0","MORGAN HILL","1727","5832","1976","1","420","","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/Morgan-Hill/765-Alamo-Dr-95037/home/1750307","MLSListings","ML81675422","N","Y","37.0998211","-121.6446939","Paradise Valley/machado Elementary School","9","0.5","49.5","33","N"
"MLS Listing","","Single Family Residential","110 Curry Ave","MORGAN HILL","CA","95037","899998","3","2.5","MORGAN HILL","2542","4500","2003","1","354","90","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/Morgan-Hill/110-Curry-Ave-95037/home/790804","MLSListings","ML81675421","N","Y","37.1514893","-121.6734847","P. A. Walsh Elementary School","3","1.8","42.3","30","N"
"MLS Listing","","Single Family Residential","620 N 2nd St","SAN JOSE","CA","95112","749888","2","1.0","SAN JOSE","908","5421","1924","1","826","","Active","August-27-2017 01:00 PM","August-27-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/620-N-2nd-St-95112/home/1305233","MLSListings","ML81675419","N","Y","37.3480177","-121.8976546","Grant Elementary School","3","0.6","10.0","12","N"
"MLS Listing","","Single Family Residential","14940 Ridgetop Dr","SAN JOSE","CA","95127","888000","3","2.0","SAN JOSE","1239","7995","1957","1","717","","Active","","","http://www.redfin.com/CA/San-Jose/14940-Ridgetop-Dr-95127/home/943055","MLSListings","ML81675407","N","Y","37.3910282","-121.8317356","Noble Elementary School","9","0.4","21.1","21","N"
"MLS Listing","","Single Family Residential","1094 Loupe Ave","SAN JOSE","CA","95121","839000","4","2.0","SAN JOSE","1757","6000","1976","1","478","","Active","August-26-2017 01:00 PM","August-26-2017 04:00 PM","http://www.redfin.com/CA/San-Jose/1094-Loupe-Ave-95121/home/1204424","MLSListings","ML81675402","N","Y","37.3019826","-121.8257917","Windmill Springs Elementary School","7","0.3","20.1","17","N"
